SED freq flux
0 9.56 4341.64892644
0 9.57 4346.36652559
0 9.58 4351.08431582
0 9.59 4355.80229694
0 9.6 4360.52046874
0 9.61 4365.23883105
0 9.62 4369.95738368
0 9.63 4374.67612642
0 9.64 4379.3950591
0 9.65 4384.11418151
0 9.66 4388.83349349
0 9.67 4393.55299482
0 9.68 4398.27268534
0 9.69 4402.99256484
0 9.7 4407.71263314
0 9.71 4412.43289006
0 9.72 4417.15333541
0 9.73 4421.873969
0 9.74 4426.59479064
0 9.75 4431.31580015
0 9.76 4436.03699735
0 9.77 4440.75838204
0 9.78 4445.47995405
0 9.79 4450.2017132
0 9.8 4454.92365929
0 9.81 4459.64579214
0 9.82 4464.36811157
0 9.83 4469.09061741
0 9.84 4473.81330945
0 9.85 4478.53618754
0 9.86 4483.25925147
0 9.87 4487.98250108
0 9.88 4492.70593618
0 9.89 4497.42955658
0 9.9 4502.15336212
0 9.91 4506.87735261
0 9.92 4511.60152786
0 9.93 4516.32588771
0 9.94 4521.05043198
0 9.95 4525.77516047
0 9.96 4530.50007303
0 9.97 4535.22516946
0 9.98 4539.95044959
0 9.99 4544.67591325
0 10.0 4549.40156026
0 10.01 4554.12739044
0 10.02 4558.85340362
0 10.03 4563.57959961
0 12.04 5517.03681182
0 15.04 6951.40067805
0 18.04 8396.97106822
0 21.04 9851.93198834
0 24.04 11314.9826345
0 27.04 12785.1433058
0 30.04 14261.6472704
0 33.04 15743.8746708
0 36.04 17231.3083486
0 39.04 18723.5011077
0 42.04 20220.048186
0 45.04 21720.5606331
0 48.04 23224.6361132
0 51.04 24731.823898
0 54.04 26241.5807348
0 57.04 27753.2140317
0 60.04 29265.808495
0 63.04 30778.1321265
0 66.04 32288.5175128
0 69.04 33794.7148815
0 72.04 35293.7148629
0 75.04 36781.5418099
0 78.04 38253.0235903
0 81.04 39701.5516877
0 84.04 41118.856717
0 87.04 42494.8388227
0 90.04 43817.5080502
0 93.04 45073.1023506
0 96.04 46246.4530918
0 99.04 47321.6504645
0 102.04 48283.0162287
0 105.04 49116.3189896
0 108.04 49810.0821826
0 111.04 50356.7670708
0 114.04 50753.5973785
0 117.04 51002.8493075
0 120.04 51111.5494639
0 123.04 51090.6613009
0 126.04 50953.9459886
0 129.04 50716.7226421
0 132.04 50394.7250851
0 135.04 50003.1834573
0 138.04 49556.1818542
0 141.04 49066.2818105
0 144.04 48544.3652161
