starID,time,mass,x,y,z
4,527.956,1.10,0.490,-2.801,-0.960
0,528.543,1.00,-1.244,-2.453,0.061
1,528.543,0.75,-1.413,-2.396,-0.091
2,528.543,1.20,2.154,7.351,0.914
3,528.543,0.70,-1.194,-2.154,-0.031
4,528.543,1.10,0.505,-2.786,-0.970
0,529.130,1.00,-1.258,-2.483,0.069
1,529.130,0.75,-1.313,-2.399,-0.024
2,529.130,1.20,2.159,7.415,0.921
3,529.130,0.70,-1.311,-2.242,-0.113
4,529.130,1.10,0.517,-2.770,-0.979
0,529.718,1.00,-1.206,-2.399,0.049
1,529.718,0.75,-1.312,-2.470,0.022
2,529.718,1.20,2.165,7.479,0.928
3,529.718,0.70,-1.413,-2.419,-0.132
4,529.718,1.10,0.528,-2.754,-0.988
0,530.305,1.00,-1.169,-2.408,0.070
1,530.305,0.75,-1.367,-2.417,-0.079
2,530.305,1.20,2.171,7.543,0.935
3,530.305,0.70,-1.430,-2.598,-0.056
4,530.305,1.10,0.536,-2.738,-0.995
0,530.892,1.00,-1.195,-2.436,0.052
1,530.892,0.75,-1.395,-2.416,-0.149
2,530.892,1.20,2.177,7.606,0.942
3,530.892,0.70,-1.383,-2.695,0.044
4,530.892,1.10,0.543,-2.722,-1.001
0,531.479,1.00,-1.264,-2.483,0.004
1,531.479,0.75,-1.386,-2.441,-0.169
2,531.479,1.20,2.183,7.670,0.949
3,531.479,0.70,-1.313,-2.736,0.129
4,531.479,1.10,0.548,-2.705,-1.006
0,532.067,1.00,-1.344,-2.511,-0.103
1,532.067,0.75,-1.363,-2.540,-0.079
2,532.067,1.20,2.188,7.733,0.956
3,532.067,0.70,-1.237,-2.724,0.181
4,532.067,1.10,0.551,-2.688,-1.010
0,532.654,1.00,-1.297,-2.573,-0.053
1,532.654,0.75,-1.491,-2.625,-0.160
2,532.654,1.20,2.194,7.796,0.963
3,532.654,0.70,-1.177,-2.680,0.190
4,532.654,1.10,0.551,-2.670,-1.013
0,533.241,1.00,-1.301,-2.671,-0.002
1,533.241,0.75,-1.520,-2.678,-0.198
2,533.241,1.20,2.200,7.860,0.970
3,533.241,0.70,-1.148,-2.620,0.148
4,533.241,1.10,0.550,-2.653,-1.015
0,533.828,1.00,-1.294,-2.754,0.059
1,533.828,0.75,-1.506,-2.727,-0.197
2,533.828,1.20,2.205,7.923,0.976
3,533.828,0.70,-1.179,-2.583,0.050
4,533.828,1.10,0.548,-2.636,-1.016
0,534.416,1.00,-1.270,-2.787,0.097
1,534.416,0.75,-1.453,-2.773,-0.159
2,534.416,1.20,2.211,7.985,0.983
3,534.416,0.70,-1.272,-2.623,-0.056
4,534.416,1.10,0.543,-2.618,-1.016
0,535.003,1.00,-1.265,-2.779,0.071
1,535.003,0.75,-1.347,-2.754,-0.085
2,535.003,1.20,2.217,8.048,0.990
3,535.003,0.70,-1.393,-2.789,-0.112
4,535.003,1.10,0.536,-2.601,-1.015
0,535.590,1.00,-1.314,-2.731,-0.031
